Number of Clusters,Silhouette Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,Config,test_set,selection_metric,budget,model,DBCV Score
0,-1.0,-1.0,3,3,,mnist,kmnc,100,lenet1,-1.0
2,0.13724763691425323,0.07134151055819195,5,0,,mnist,kmnc,150,lenet1,0.005435384202130673
2,0.09735310822725296,0.023724929512714772,7,0,,mnist,kmnc,200,lenet1,-0.049903249201823416
-1,-1.0,-1.0,1,-1,-1.0,mnist,nac,50,lenet1,
1,0.12715411186218262,0.3280713925193508,4,2,,mnist,nac,100,lenet1,0.528988673176519
2,0.1875106692314148,0.112288796233883,6,0,,mnist,nac,150,lenet1,0.037066923236351225
2,0.2695922553539276,0.15628349013916726,9,0,,mnist,nac,200,lenet1,0.04297472492440692
0,-1.0,-1.0,3,3,,mnist,lsa,50,lenet1,-1.0
0,-1.0,-1.0,4,4,,mnist,lsa,100,lenet1,-1.0
2,0.04459231346845627,,7,1,,mnist,lsa,150,lenet1,
2,0.07131615281105042,0.03655001970385666,11,2,,mnist,lsa,200,lenet1,0.0017838865966628918
5,0.2618069052696228,,21,1,,mnist,dsa,50,lenet1,
7,0.3119679093360901,0.17221717411786938,35,7,,mnist,dsa,100,lenet1,0.032466438899648696
10,0.2597023844718933,0.18215959180961117,55,8,,mnist,dsa,150,lenet1,0.10461679914732899
8,0.1672702580690384,,70,1,,mnist,dsa,200,lenet1,
0,-1.0,-1.0,4,4,,mnist,std,50,lenet1,-1.0
0,-1.0,-1.0,5,5,,mnist,std,100,lenet1,-1.0
1,0.03876769542694092,,5,1,,mnist,std,150,lenet1,
1,-1.0,-1.0,5,0,,mnist,std,200,lenet1,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,pace,50,lenet1,
0,-1.0,-1.0,3,3,,mnist,pace,100,lenet1,-1.0
2,0.1716327667236328,0.08221465421144117,8,3,,mnist,pace,150,lenet1,-0.00720345830075048
2,0.14483360946178436,0.09336768560458948,8,3,,mnist,pace,200,lenet1,0.0419017617473946
-1,-1.0,-1.0,0,-1,-1.0,mnist,dr,50,lenet4,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,100,lenet4,
-1,-1.0,-1.0,2,-1,-1.0,mnist,dr,150,lenet4,
0,-1.0,-1.0,3,3,,mnist,dr,200,lenet4,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,ces,50,lenet4,
0,-1.0,-1.0,7,7,,mnist,ces,100,lenet4,-1.0
2,0.022541003301739693,,7,1,,mnist,ces,150,lenet4,
1,0.052515897899866104,0.29031204740049266,4,2,,mnist,ces,200,lenet4,0.5281081969011192
9,0.27248528599739075,0.19293900843616646,33,5,,mnist,mcp,50,lenet4,0.11339273087494217
8,0.2366717904806137,0.17744683558314917,55,4,,mnist,mcp,100,lenet4,0.1182218806856846
6,0.14099417626857758,0.07834915046423564,70,6,,mnist,mcp,150,lenet4,0.015704124659893702
14,0.14707666635513306,0.10157009081141653,90,9,,mnist,mcp,200,lenet4,0.0560635152677
4,0.15032848715782166,0.10038598022916881,16,4,,mnist,est,50,lenet4,0.05044347330051597
4,0.1954631805419922,0.14014479507521005,26,2,,mnist,est,100,lenet4,0.0848264096084279
8,0.191653773188591,0.11847823924327795,49,7,,mnist,est,150,lenet4,0.0453027052979649
8,0.27088555693626404,,53,1,,mnist,est,200,lenet4,
0,-1.0,-1.0,3,3,,mnist,rnd,50,lenet4,-1.0
2,0.10600904375314713,,6,1,,mnist,rnd,100,lenet4,
1,0.07581605017185211,0.31680003509875987,4,2,,mnist,rnd,150,lenet4,0.5577840200256676
2,0.17090097069740295,0.1068439862502651,5,0,,mnist,rnd,200,lenet4,0.04278700180312725
5,0.19202864170074463,0.19831230753945947,29,4,,mnist,ent,50,lenet4,0.2045959733781743
11,0.28318965435028076,0.1891391123783019,53,7,,mnist,ent,100,lenet4,0.095088570406323
12,0.24669373035430908,0.19623190917756367,73,5,,mnist,ent,150,lenet4,0.14577008800081828
4,-0.14420880377292633,-0.06591739205577041,91,3,,mnist,ent,200,lenet4,0.012374019661385526
6,0.2132827490568161,0.13069018612070313,29,8,,mnist,gini,50,lenet4,0.048097623184590155
10,0.13607069849967957,0.15898249320579758,54,6,,mnist,gini,100,lenet4,0.1818942879119156
11,0.21436914801597595,0.1574153116237072,73,3,,mnist,gini,150,lenet4,0.10046147523143842
5,0.20094212889671326,0.17447664008156655,93,7,,mnist,gini,200,lenet4,0.14801115126641984
-1,-1.0,-1.0,2,-1,-1.0,mnist,dat,50,lenet4,
1,0.11213558912277222,0.09694258101860094,4,2,,mnist,dat,100,lenet4,0.08174957291442966
0,-1.0,-1.0,3,3,,mnist,dat,150,lenet4,-1.0
2,0.11899363994598389,0.06663272012682575,9,5,,mnist,dat,200,lenet4,0.014271800307667608
0,-1.0,-1.0,3,3,,mnist,gd,50,lenet4,-1.0
0,-1.0,-1.0,3,3,,mnist,gd,100,lenet4,-1.0
2,0.016805371269583702,,7,1,,mnist,gd,150,lenet4,
2,-0.001800383790396154,,7,1,,mnist,gd,200,lenet4,
1,0.06524522602558136,0.04431450096544532,4,2,,mnist,kmnc,50,lenet4,0.023383775905309278
1,0.22163069248199463,0.11602414501078433,4,2,,mnist,kmnc,100,lenet4,0.010417597539574027
2,0.19007740914821625,0.09939530985544218,7,0,,mnist,kmnc,150,lenet4,0.008713210562668092
2,0.09584169089794159,0.3045912070845679,7,3,,mnist,kmnc,200,lenet4,0.5133407232711942
1,0.2226482778787613,0.14425984899441502,7,5,,mnist,nac,50,lenet4,0.06587142011006873
2,0.029056545346975327,-0.022301892093738375,13,0,,mnist,nac,100,lenet4,-0.07366032953445208
2,0.15966323018074036,0.1417791132003033,14,6,,mnist,nac,150,lenet4,0.12389499621986622
4,0.07907859981060028,0.04908874068978776,17,9,,mnist,nac,200,lenet4,0.01909888156897524
0,-1.0,-1.0,3,3,,mnist,lsa,50,lenet4,-1.0
0,-1.0,-1.0,5,5,,mnist,lsa,100,lenet4,-1.0
2,0.10429949313402176,0.06311939374966741,8,4,,mnist,lsa,150,lenet4,0.021939294365313063
2,0.10355157405138016,0.08991413854885545,9,5,,mnist,lsa,200,lenet4,0.07627670304633075
5,0.19087055325508118,0.175739789664941,35,3,,mnist,dsa,50,lenet4,0.16060902607480082
12,0.25982964038848877,0.19678940442127735,64,7,,mnist,dsa,100,lenet4,0.13374916845406593
14,0.24453933537006378,0.1789055604829163,98,8,,mnist,dsa,150,lenet4,0.11327178559576882
20,0.2095920592546463,0.1647279288141796,117,17,,mnist,dsa,200,lenet4,0.1198637983737129
-1,-1.0,-1.0,1,-1,-1.0,mnist,std,50,lenet4,
-1,-1.0,-1.0,1,-1,-1.0,mnist,std,100,lenet4,
-1,-1.0,-1.0,2,-1,-1.0,mnist,std,150,lenet4,
0,-1.0,-1.0,5,5,,mnist,std,200,lenet4,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,pace,50,lenet4,
1,0.10419510304927826,0.06445481852543518,5,2,,mnist,pace,100,lenet4,0.024714534001592087
-1,-1.0,-1.0,0,-1,-1.0,mnist,pace,150,lenet4,
1,0.2505795359611511,0.16557166570564635,4,2,,mnist,pace,200,lenet4,0.08056379545014157
-1,-1.0,-1.0,0,-1,-1.0,mnist,dr,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,dr,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dr,200,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,ces,150,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,ces,200,lenet5,
7,0.17166057229042053,0.11955470665456312,25,6,,mnist,mcp,50,lenet5,0.06744884101870571
4,0.1717069000005722,0.13960169061209524,39,3,,mnist,mcp,100,lenet5,0.10749648122361827
13,0.2441316545009613,0.18458857219126096,57,6,,mnist,mcp,150,lenet5,0.1250454898815606
11,0.18396878242492676,0.1473277644346384,70,8,,mnist,mcp,200,lenet5,0.11068674644435009
4,0.19817422330379486,,11,1,,mnist,est,50,lenet5,
5,0.03725166618824005,,35,1,,mnist,est,100,lenet5,
7,0.12474293261766434,0.05742199667502467,43,12,,mnist,est,150,lenet5,-0.00989893926761499
8,0.2221234291791916,0.1584267943527925,50,7,,mnist,est,200,lenet5,0.09473015952639341
-1,-1.0,-1.0,0,-1,-1.0,mnist,rnd,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,rnd,100,lenet5,-1.0
-1,-1.0,-1.0,0,-1,-1.0,mnist,rnd,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,rnd,200,lenet5,
7,0.2423635870218277,0.23095855448301103,22,2,,mnist,ent,50,lenet5,0.21955352194419436
5,0.07501779496669769,0.09259501829426774,44,2,,mnist,ent,100,lenet5,0.11017224162183778
11,0.2432365119457245,0.1808877531263454,60,2,,mnist,ent,150,lenet5,0.11853899430696628
16,0.19669464230537415,0.21074316932022946,75,8,,mnist,ent,200,lenet5,0.22479169633508475
5,0.2054470181465149,0.18757660252477565,22,5,,mnist,gini,50,lenet5,0.1697061869030364
13,0.11044037342071533,0.18966316585041237,44,7,,mnist,gini,100,lenet5,0.2688859582801094
7,-0.043615587055683136,,62,1,,mnist,gini,150,lenet5,
8,-0.03670163452625275,,77,1,,mnist,gini,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,50,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,100,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,dat,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,dat,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,gd,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,gd,100,lenet5,-1.0
1,0.06401333212852478,0.30660493435581654,4,2,,mnist,gd,150,lenet5,0.5491965365831083
0,-1.0,-1.0,3,3,,mnist,gd,200,lenet5,-1.0
-1,-1.0,-1.0,1,-1,-1.0,mnist,kmnc,50,lenet5,
1,0.0489705353975296,,4,1,,mnist,kmnc,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,kmnc,150,lenet5,
0,-1.0,-1.0,3,3,,mnist,kmnc,200,lenet5,-1.0
-1,-1.0,-1.0,1,-1,-1.0,mnist,nac,50,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist,nac,100,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist,nac,150,lenet5,
0,-1.0,-1.0,3,3,,mnist,nac,200,lenet5,-1.0
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,100,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,150,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist,lsa,200,lenet5,
7,0.21632343530654907,0.16941623696071167,33,4,,mnist,dsa,50,lenet5,0.1225090386148743
6,0.20167486369609833,0.15475617379165574,54,2,,mnist,dsa,100,lenet5,0.10783748388721312
14,0.24232074618339539,0.155308062674296,70,11,,mnist,dsa,150,lenet5,0.06829537916519664
20,0.21102336049079895,0.15595086505536432,82,17,,mnist,dsa,200,lenet5,0.10087836961992969
-1,-1.0,-1.0,1,-1,-1.0,mnist,std,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,std,100,lenet5,-1.0
-1,-1.0,-1.0,2,-1,-1.0,mnist,std,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist,std,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist,pace,50,lenet5,
0,-1.0,-1.0,3,3,,mnist,pace,100,lenet5,-1.0
0,-1.0,-1.0,3,3,,mnist,pace,150,lenet5,-1.0
0,-1.0,-1.0,6,6,,mnist,pace,200,lenet5,-1.0
0,-1.0,-1.0,5,5,,mnist_c,dr,50,lenet5,-1.0
2,0.21062538027763367,0.1451037264847171,8,3,,mnist_c,dr,100,lenet5,0.07958207269180054
4,0.2476746141910553,0.18050650132548562,16,3,,mnist_c,dr,150,lenet5,0.11333838845991595
5,0.2025734931230545,0.17878199931997807,19,5,,mnist_c,dr,200,lenet5,0.1549905055169016
-1,-1.0,-1.0,1,-1,-1.0,mnist_c,ces,50,lenet5,
0,-1.0,-1.0,3,3,,mnist_c,ces,100,lenet5,-1.0
0,-1.0,-1.0,7,7,,mnist_c,ces,150,lenet5,-1.0
2,0.13308362662792206,,6,1,,mnist_c,ces,200,lenet5,
9,0.24968120455741882,,32,1,,mnist_c,mcp,50,lenet5,
8,0.10835857689380646,0.11378638557175326,58,2,,mnist_c,mcp,100,lenet5,0.11921419424970006
18,0.32214200496673584,0.3185182115767889,82,8,,mnist_c,mcp,150,lenet5,0.31489441818684194
21,0.26176917552948,0.21126438192451458,107,14,,mnist_c,mcp,200,lenet5,0.16075958831954915
8,0.27156779170036316,0.25011635537870536,22,2,,mnist_c,est,50,lenet5,0.2286649190570476
9,0.2237960249185562,0.19619516067561538,33,7,,mnist_c,est,100,lenet5,0.1685942964326745
12,0.2563191056251526,0.23142495288138953,56,12,,mnist_c,est,150,lenet5,0.2065308001376265
13,0.2445678412914276,0.19988143425945426,77,12,,mnist_c,est,200,lenet5,0.1551950272274809
1,0.1950128823518753,0.11179012556457806,4,2,,mnist_c,rnd,50,lenet5,0.028567368777280795
5,0.21862907707691193,0.15106462097333678,12,0,,mnist_c,rnd,100,lenet5,0.08350016486976167
7,0.19040079414844513,,23,1,,mnist_c,rnd,150,lenet5,
6,0.20164737105369568,0.1708455824350732,18,4,,mnist_c,rnd,200,lenet5,0.1400437938164507
10,0.269894003868103,0.3114001777141137,30,5,,mnist_c,ent,50,lenet5,0.3529063515601244
17,0.22395136952400208,0.2570922110188688,63,8,,mnist_c,ent,100,lenet5,0.2902330525137355
13,0.24151797592639923,0.19409579648650815,82,9,,mnist_c,ent,150,lenet5,0.14667361704661705
15,0.16506469249725342,0.15490572826041854,113,8,,mnist_c,ent,200,lenet5,0.14474676402358366
10,0.24454842507839203,0.20068581691657372,31,8,,mnist_c,gini,50,lenet5,0.1568232087547554
12,0.28404685854911804,0.2081713215320971,65,4,,mnist_c,gini,100,lenet5,0.13229578451507615
14,0.2922857403755188,0.2238559567144036,92,7,,mnist_c,gini,150,lenet5,0.15542617305328837
16,0.23261745274066925,0.22463233000672556,119,8,,mnist_c,gini,200,lenet5,0.2166472072727819
3,0.15101538598537445,0.12102001975655897,9,2,,mnist_c,dat,50,lenet5,0.0910246535277435
6,0.23007458448410034,0.23946705177859529,21,3,,mnist_c,dat,100,lenet5,0.2488595190730902
7,0.2921725809574127,0.2213400312290592,33,5,,mnist_c,dat,150,lenet5,0.1505074815007057
12,0.2196396291255951,0.24956647851856958,38,6,,mnist_c,dat,200,lenet5,0.2794933279115441
2,0.1472427248954773,0.0775834804889929,5,0,,mnist_c,gd,50,lenet5,0.007924236082508506
3,0.1914581060409546,0.1443183371237552,10,3,,mnist_c,gd,100,lenet5,0.09717856820655577
4,0.1698727309703827,0.11372234205444737,13,5,,mnist_c,gd,150,lenet5,0.057571953138512044
2,0.16366198658943176,0.07527207519052964,13,9,,mnist_c,gd,200,lenet5,-0.013117836208372466
1,0.2181430160999298,0.11817843810694516,4,2,,mnist_c,kmnc,50,lenet5,0.018213860113960503
2,0.1919490396976471,0.1377867595245122,8,3,,mnist_c,kmnc,100,lenet5,0.08362447935137726
1,0.047567177563905716,,4,1,,mnist_c,kmnc,150,lenet5,
2,0.2234237939119339,0.12151969728534458,7,0,,mnist_c,kmnc,200,lenet5,0.019615600658755266
0,-1.0,-1.0,3,3,,mnist_c,nac,50,lenet5,-1.0
3,0.27724310755729675,0.21104895947874094,7,0,,mnist_c,nac,100,lenet5,0.14485481140018514
3,0.2365221381187439,,8,1,,mnist_c,nac,150,lenet5,
3,0.2993972599506378,0.2446158634401166,9,0,,mnist_c,nac,200,lenet5,0.18983446692959538
-1,-1.0,-1.0,2,-1,-1.0,mnist_c,lsa,50,lenet5,
2,0.10765179246664047,,7,1,,mnist_c,lsa,100,lenet5,
4,0.1818111091852188,0.13136133775371578,13,4,,mnist_c,lsa,150,lenet5,0.08091156632221277
6,0.20875607430934906,0.16706706524284973,19,3,,mnist_c,lsa,200,lenet5,0.1253780561763504
7,0.15782107412815094,0.10213070560777184,50,2,,mnist_c,dsa,50,lenet5,0.04644033708739273
9,0.15051864087581635,0.14378586307602864,97,2,,mnist_c,dsa,100,lenet5,0.13705308527624097
19,0.337018758058548,0.29439062611800304,137,6,,mnist_c,dsa,150,lenet5,0.25176249417745816
23,0.29519933462142944,0.291897985871913,176,13,,mnist_c,dsa,200,lenet5,0.2885966371223966
0,-1.0,-1.0,3,3,,mnist_c,std,50,lenet5,-1.0
2,0.07386123389005661,,7,1,,mnist_c,std,100,lenet5,
3,0.17373034358024597,0.2013036092132192,13,2,,mnist_c,std,150,lenet5,0.2288768748461924
3,0.17461787164211273,0.24386052770728056,13,3,,mnist_c,std,200,lenet5,0.3131031837724484
0,-1.0,-1.0,3,3,,mnist_c,pace,50,lenet5,-1.0
1,0.10958341509103775,0.04653309116843407,5,3,,mnist_c,pace,100,lenet5,-0.0165172327541696
4,0.16190363466739655,,11,1,,mnist_c,pace,150,lenet5,
2,-0.08189791440963745,,11,1,,mnist_c,pace,200,lenet5,
7,0.1156638041138649,0.1458308651668785,24,3,,mnist_adv,dr,50,lenet5,0.17599792621989205
6,0.4073863923549652,,43,1,,mnist_adv,dr,100,lenet5,
21,0.24278175830841064,0.276405802657801,75,8,,mnist_adv,dr,150,lenet5,0.31002984700719133
13,0.4488050043582916,0.39199093431229814,96,7,,mnist_adv,dr,200,lenet5,0.3351768642663046
6,0.2238347828388214,0.15631039576480216,18,2,,mnist_adv,ces,50,lenet5,0.08878600869078289
6,0.31724733114242554,0.23161147027234427,25,4,,mnist_adv,ces,100,lenet5,0.145975609402263
11,0.2403900921344757,0.18984486616742696,42,6,,mnist_adv,ces,150,lenet5,0.13929964020037822
12,0.26839932799339294,0.2779790626069412,44,4,,mnist_adv,ces,200,lenet5,0.2875587972204895
8,0.17212635278701782,0.1358496380953214,44,11,,mnist_adv,mcp,50,lenet5,0.099572923403625
20,0.34600630402565,0.26524005762373415,84,6,,mnist_adv,mcp,100,lenet5,0.18447381122181827
19,0.37034064531326294,0.3280492325729925,129,11,,mnist_adv,mcp,150,lenet5,0.2857578198327221
6,0.08781025558710098,0.09892553748964616,169,3,,mnist_adv,mcp,200,lenet5,0.11004081939219136
7,0.15643620491027832,0.1531201158108375,44,4,,mnist_adv,est,50,lenet5,0.14980402671139673
5,0.08056174963712692,0.04678630446521638,91,4,,mnist_adv,est,100,lenet5,0.01301085929330583
12,0.17352861166000366,0.09678941534028151,120,5,,mnist_adv,est,150,lenet5,0.020050219020559354
18,0.13668961822986603,0.08421480419144586,173,10,,mnist_adv,est,200,lenet5,0.03173999015302569
3,0.2303328812122345,0.12230520727830779,27,0,,mnist_adv,rnd,50,lenet5,0.014277533344381074
11,0.26724717020988464,0.2576788197821458,45,3,,mnist_adv,rnd,100,lenet5,0.24811046935440692
14,0.35725581645965576,0.2971924565318727,80,10,,mnist_adv,rnd,150,lenet5,0.23712909660408968
17,0.14144590497016907,0.10891364497555484,93,8,,mnist_adv,rnd,200,lenet5,0.0763813849809406
10,0.22720219194889069,0.2090538276493063,47,4,,mnist_adv,ent,50,lenet5,0.19090546334972194
11,0.22977380454540253,0.18427316670120347,94,9,,mnist_adv,ent,100,lenet5,0.1387725288570044
12,0.2398039549589157,0.15321772072723877,142,7,,mnist_adv,ent,150,lenet5,0.06663148649556186
17,0.09674182534217834,0.05429177220836699,187,12,,mnist_adv,ent,200,lenet5,0.011841719074555633
5,0.1744270920753479,,48,1,,mnist_adv,gini,50,lenet5,
11,0.23791944980621338,0.15975994956103023,96,6,,mnist_adv,gini,100,lenet5,0.08160044931584708
29,0.27155718207359314,0.18589113992194775,142,17,,mnist_adv,gini,150,lenet5,0.10022509777030238
21,0.07821580022573471,0.06083476346806796,187,13,,mnist_adv,gini,200,lenet5,0.04345372671040121
4,0.2375791072845459,0.17791243535387985,10,2,,mnist_adv,dat,50,lenet5,0.11824576342321379
8,0.2692127227783203,0.23453525710581632,31,3,,mnist_adv,dat,100,lenet5,0.19985779143331234
5,0.2952879071235657,0.2121320016914516,37,0,,mnist_adv,dat,150,lenet5,0.12897609625933754
10,0.21676112711429596,0.13285377754531916,58,5,,mnist_adv,dat,200,lenet5,0.048946427976342355
4,0.30968013405799866,,23,1,,mnist_adv,gd,50,lenet5,
10,0.2462770938873291,0.1908421076546178,48,8,,mnist_adv,gd,100,lenet5,0.13540712142190647
16,0.20695370435714722,0.1660400777671761,85,3,,mnist_adv,gd,150,lenet5,0.125126451177205
17,0.25479909777641296,0.17033142069672902,94,14,,mnist_adv,gd,200,lenet5,0.0858637436170451
0,-1.0,-1.0,9,9,,mnist_adv,kmnc,50,lenet5,-1.0
1,-1.0,-1.0,8,0,,mnist_adv,kmnc,100,lenet5,-1.0
5,0.256136029958725,0.20994377306089504,20,4,,mnist_adv,kmnc,150,lenet5,0.1637515161630651
4,0.19409096240997314,0.15667015799430972,23,2,,mnist_adv,kmnc,200,lenet5,0.11924935357864627
-1,-1.0,-1.0,1,-1,-1.0,mnist_adv,nac,50,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_adv,nac,100,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_adv,nac,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_adv,nac,200,lenet5,
5,0.30555999279022217,,26,1,,mnist_adv,lsa,50,lenet5,
13,0.16162237524986267,0.092880950141042,49,8,,mnist_adv,lsa,100,lenet5,0.024139525032221325
10,0.28843384981155396,0.19042255309392078,76,8,,mnist_adv,lsa,150,lenet5,0.09241125637628762
17,0.22404493391513824,0.1690505038309823,101,8,,mnist_adv,lsa,200,lenet5,0.11405607374682634
2,0.41051581501960754,0.23776281017674428,50,0,,mnist_adv,dsa,50,lenet5,0.06500980533388104
9,0.05067804455757141,0.025904577436992173,100,5,,mnist_adv,dsa,100,lenet5,0.0011311103164129352
15,0.15889406204223633,0.08309517342961313,150,8,,mnist_adv,dsa,150,lenet5,0.00729628481698994
1,-0.1431247889995575,-0.08720914041933461,200,3,,mnist_adv,dsa,200,lenet5,-0.03129349183911174
7,0.33577653765678406,,26,1,,mnist_adv,std,50,lenet5,
12,0.18460525572299957,0.14926138302279865,51,5,,mnist_adv,std,100,lenet5,0.11391751032259774
13,0.11196227371692657,0.1116072085199609,80,12,,mnist_adv,std,150,lenet5,0.11125214332299521
23,0.21575212478637695,0.17958047549109876,103,5,,mnist_adv,std,200,lenet5,0.14340882619582057
6,0.2601366639137268,0.20083495175293106,25,0,,mnist_adv,pace,50,lenet5,0.14153323959213532
10,0.29720795154571533,0.20953485175150077,43,3,,mnist_adv,pace,100,lenet5,0.12186175195728621
17,0.16996224224567413,0.20404708713724465,72,10,,mnist_adv,pace,150,lenet5,0.23813193202881516
15,0.366869181394577,0.35916951855179946,95,4,,mnist_adv,pace,200,lenet5,0.3514698557090219
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,dr,50,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,dr,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,dr,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,dr,200,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,ces,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,ces,100,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,ces,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,ces,200,lenet5,
6,0.27634191513061523,0.2737935390244526,24,2,,mnist_label,mcp,50,lenet5,0.2712451629182899
12,0.3005197048187256,0.2432319050704583,38,6,,mnist_label,mcp,100,lenet5,0.18594410532219102
12,0.31792908906936646,0.23122776831189878,49,7,,mnist_label,mcp,150,lenet5,0.14452644755443111
13,0.35433393716812134,0.29652015318510905,58,11,,mnist_label,mcp,200,lenet5,0.23870636920209673
5,0.23836766183376312,,13,1,,mnist_label,est,50,lenet5,
